# ES Parsing Summary Log
# Generated: 2025-09-01 17:05:34
# Timestamp: 20250901_170534
📊 Processing Summary:
   ✅ Processed: 222 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\es\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
ES - 001 - A LA VÍCTIMA PASCUAL.chordpro | A LA VÍCTIMA PASCUAL | 3 roles | 26 verses | Fa, Fa 7, La 7, La–, Mi, Re–, Re– 9
ES - 171 - ASÍ HABLA EL AMÉN.chordpro | ASÍ HABLA EL AMÉN | 5 roles | 25 verses | Do, Mi–, Re 7, Si 7, Sol
ES - 172 - BENDITO SEA DIOS.chordpro | BENDITO SEA DIOS | 9 roles | 27 verses | Fa#, La, La 7, Mi–, Re, Si–, Sol
ES - 173 - COMO EL IMPULSO QUE SIENTE LA IRA.chordpro | COMO EL IMPULSO QUE SIENTE LA IRA | 6 roles | 30 verses | Do, Fa, La 7, La–, Mi, Re–, Sol, Sol 7
ES - 174 - CONSOLAD A MI PUEBLO.chordpro | CONSOLAD A MI PUEBLO | 5 roles | 14 verses | La, La–, Mi–, Si 7, Sol
ES - 175 - DÉBORA.chordpro | DÉBORA | 11 roles | 36 verses | Fa, La–, Mi, Mi–, Re 7
ES - 176 - EL COMBATE ESCATOLÓGICO.chordpro | EL COMBATE ESCATOLÓGICO | 9 roles | 33 verses | Do, Fa, La–, Mi, Sol
ES - 177 - EL LAGARERO.chordpro | EL LAGARERO | 6 roles | 25 verses | La–, Mi–, Re, Si 7
ES - 178 - EL MISMO DIOS.chordpro | EL MISMO DIOS | 9 roles | 26 verses | Fa#, La, Re, Si–, Sol
ES - 179 - EL SEMBRADOR.chordpro | EL SEMBRADOR | 24 roles | 30 verses | Do, Fa, La, La 7, Re–, Sol, Sol–
ES - 180 - EL SEÑOR ME HA DADO.chordpro | EL SEÑOR ME HA DADO | 11 roles | 32 verses | Do, Fa#, Fa#–, Re, Si–, Sol
ES - 181 - ERES DIGNO DE TOMAR EL LIBRO.chordpro | ERES DIGNO DE TOMAR EL LIBRO | 6 roles | 24 verses | Fa, La, La 7, La–, Re–, Sol–
ES - 182 - ESCUCHAD ISLAS LEJANAS.chordpro | ESCUCHAD ISLAS LEJANAS | 9 roles | 34 verses | Fa#, Fa#–, La 7, Mi–, Re, Si–, Sol
ES - 183 - HE AQUÍ MI SIERVO.chordpro | HE AQUÍ MI SIERVO | 3 roles | 15 verses | Do, Fa, La 7, La–, Mi, Mi 7, Re–
ES - 184 - HE AQUÍ QUE NUESTRO ESPEJO ES EL SEÑOR.chordpro | HE AQUÍ QUE NUESTRO ESPEJO ES EL SEÑOR | 8 roles | 15 verses | La, La–, Re–, Sol–
ES - 185 - HIMNO A LA CRUZ GLORIOSA.chordpro | HIMNO A LA CRUZ GLORIOSA | 5 roles | 28 verses | Do#–, Fa#–, La, Mi, Si 7, Sol#
ES - 186 - JACOB.chordpro | JACOB | 12 roles | 32 verses | Do, Fa, La–, Mi, Mi 7, Re, Sol
ES - 187 - LAS ARMAS DE LA LUZ.chordpro | LAS ARMAS DE LA LUZ | 8 roles | 29 verses | Fa, La–, Mi 7, Re–, Re– 9
ES - 188 - NINGUNO PUEDE SERVIR A DOS SEÑORES.chordpro | NINGUNO PUEDE SERVIR A DOS SEÑORES | 10 roles | 32 verses | Do, Do 7, La–, Mi–, Re, Re 7, Si 7, Si–, Sol
ES - 189 - NO HAY EN ÉL PARECER.chordpro | NO HAY EN ÉL PARECER | 8 roles | 28 verses | Do, Fa, La–, Sol
ES - 190 - NO SUFRAS POR LOS MALVADOS.chordpro | NO SUFRAS POR LOS MALVADOS | 5 roles | 24 verses | Fa, La–, Mi, Re–
ES - 191 - OH SEÑOR, MI CORAZÓN YA NO ES AMBICIOSO.chordpro | OH SEÑOR, MI CORAZÓN YA NO ES AMBICIOSO | 7 roles | 13 verses | Do, La–, Mi–, Si 7
ES - 192 - SEÑOR, TÚ ME ESCRUTAS Y CONOCES.chordpro | SEÑOR, TÚ ME ESCRUTAS Y CONOCES | 3 roles | 31 verses | Do 7, Fa, La, La–, Re–, Sib, Sol–, Sol– 6
ES - 193 - SHEMÁ ISRAEL.chordpro | SHEMÁ ISRAEL | 8 roles | 34 verses | Fa, La–, Mi, Re–, Sol
ES - 194 - SIÉNTATE SOLITARIO Y SILENCIOSO.chordpro | SIÉNTATE SOLITARIO Y SILENCIOSO | 3 roles | 30 verses | Fa#, Fa#–, La, La 7, Mi–, Re, Si–, Sol
ES - 195 - TÚ HAS CUBIERTO DE VERGÜENZA LA MUERTE.chordpro | TÚ HAS CUBIERTO DE VERGÜENZA LA MUERTE | 6 roles | 35 verses | La 7, Re–, Sib 7
ES - 196 - A LA CENA DEL CORDERO.chordpro | A LA CENA DEL CORDERO | 7 roles | 27 verses | Fa, La–, Mi, Sol
ES - 197 - ABBÁ PADRE.chordpro | ABBÁ PADRE | 3 roles | 15 verses | Do, Fa, La–, Mi, Mi 7, Re–, Sol, Sol 7
ES - 198 - ADÓNDE TE ESCONDISTE AMADO.chordpro | ADÓNDE TE ESCONDISTE AMADO | 4 roles | 33 verses | Fa, Fa 7, La–, Mi, Sol
ES - 199 - COMO CONDENADOS A MUERTE.chordpro | COMO CONDENADOS A MUERTE | 10 roles | 31 verses | Fa, La–, Mi, Sol
ES - 200 - COMO DESTILA LA MIEL.chordpro | COMO DESTILA LA MIEL | 7 roles | 36 verses | Fa, La–, Mi, Re–
ES - 201 - COMO LIRIO ENTRE LOS CARDOS.chordpro | COMO LIRIO ENTRE LOS CARDOS | 6 roles | 29 verses | Fa#, Mi–, Si–, Sol
ES - 202 - CUANDO DORMÍA.chordpro | CUANDO DORMÍA | 6 roles | 30 verses | Do, Fa, La–, Mi, Re–, Sol
ES - 203 - EL ESPÍRITU DEL SEÑOR ESTÁ SOBRE MÍ.chordpro | EL ESPÍRITU DEL SEÑOR ESTÁ SOBRE MÍ | 3 roles | 12 verses | Fa, La–, Mi, Sol
ES - 204 - EL JACAL DE LOS PASTORES.chordpro | EL JACAL DE LOS PASTORES | 4 roles | 17 verses | La, Re–, Sib
ES - 205 - EN UNA NOCHE OSCURA.chordpro | EN UNA NOCHE OSCURA | 4 roles | 27 verses | Fa, La–, Mi, Re–, Re– 9
ES - 206 - EXTIENDO MIS MANOS.chordpro | EXTIENDO MIS MANOS | 5 roles | 13 verses | Fa#, La, Mi, Re, Si–, Sol
ES - 207 - HERMOSA ERES, AMIGA MÍA.chordpro | HERMOSA ERES, AMIGA MÍA | 5 roles | 26 verses | La 7, Re 7, Re–, Sib, Sib 7, Sol–
ES - 208 - HIMNO A LA CARIDAD.chordpro | HIMNO A LA CARIDAD | 2 roles | 29 verses | Do, Fa, La–, Sol
ES - 209 - HUYE, AMADO MÍO.chordpro | HUYE, AMADO MÍO | 4 roles | 13 verses | Fa, Fa#–, La, La–, Mi, Mi 7, Re–
ES - 210 - JESÚS RECORRÍA TODAS LAS CIUDADES.chordpro | JESÚS RECORRÍA TODAS LAS CIUDADES | 19 roles | 38 verses | Do, Fa, La–, Mi, Mi 7, Mi–, Re–, Sol
ES - 211 - LA CORDERA DE DIOS.chordpro | LA CORDERA DE DIOS | 10 roles | 35 verses | Do, La–, Mi–, Si 7
ES - 212 - LA PALOMA VOLÓ.chordpro | LA PALOMA VOLÓ | 5 roles | 21 verses | Do, La–, La– 6, Mi–, Si 7
ES - 213 - LA VOZ DE MI AMADO.chordpro | LA VOZ DE MI AMADO | 9 roles | 35 verses | Do, Fa, La–, Mi, Re–, Sol
ES - 214 - ME ROBASTE EL CORAZÓN.chordpro | ME ROBASTE EL CORAZÓN | 13 roles | 39 verses | Do, Fa, La, Re–, Sib, Sol–
ES - 215 - NO RESISTÁIS AL MAL.chordpro | NO RESISTÁIS AL MAL | 8 roles | 33 verses | La, Re, Si–, Sol
ES - 216 - NOLI ME TANGERE.chordpro | NOLI ME TANGERE | 9 roles | 25 verses | Do, Do–, Fa, Fa–, Sib, Sol, Sol#
ES - 217 - QUIÉN ES ÉSTA QUE SUBE DEL DESIERTO.chordpro | QUIÉN ES ÉSTA QUE SUBE DEL DESIERTO | 5 roles | 17 verses | Fa, La–, Mi, Re–, Sol
ES - 218 - QUIERO ANDAR.chordpro | QUIERO ANDAR | 5 roles | 15 verses | Fa, La–, Mi, Re–
ES - 219 - SERMÓN DE LA MONTAÑA.chordpro | SERMÓN DE LA MONTAÑA | 16 roles | 35 verses | Do# 7, Fa#, La, La 7, Mi, Re, Si, Si 7, Si–, Sol
ES - 220 - SUBA EL ESPOSO AL LEÑO DE SU TÁLAMO.chordpro | SUBA EL ESPOSO AL LEÑO DE SU TÁLAMO | 5 roles | 22 verses | Fa, La–, Mi, Re–
ES - 221 - TÚ ERES MI ESPERANZA, SEÑOR.chordpro | TÚ ERES MI ESPERANZA, SEÑOR | 5 roles | 15 verses | Do# dim, La 7, Re–, Sib 7, Sol–
ES - 222 - VEN DEL LÍBANO.chordpro | VEN DEL LÍBANO | 8 roles | 38 verses | Do, La, La–, Mi–, Re, Sol
