# IT Parsing Summary Log
# Generated: 2025-09-01 16:46:49
# Timestamp: 20250901_164649
📊 Processing Summary:
   ✅ Processed: 225 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\it\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
IT - 001 - A TE LEVO I MIEI OCCHI.chordpro | A TE LEVO I MIEI OCCHI | 5 roles | 21 verses | La, La7, Re m, Sib, Sol m
IT - 171 - QUANTO SONO AMABILI LE TUE DIMORE.chordpro | QUANTO SONO AMABILI LE TUE DIMORE | 9 roles | 27 verses | Do, Fa, La m, Mi m, Sol
IT - 172 - QUESTO È IL MIO COMANDAMENTO.chordpro | QUESTO È IL MIO COMANDAMENTO | 6 roles | 37 verses | Do, Fa, La m, La7, Mi, Re m, Sol
IT - 173 - RESURREXIT.chordpro | RESURREXIT | 6 roles | 32 verses | Fa, La m, Mi, Mi7, Re m
IT - 174 - RISUSCITÒ.chordpro | RISUSCITÒ | 9 roles | 23 verses | Fa, La m, Mi, Sol
IT - 175 - RIVESTITEVI DELL’ARMATURA DI DIO.chordpro | RIVESTITEVI DELL’ARMATURA DI DIO | 8 roles | 20 verses | La, Re m, Sib, Sol m
IT - 176 - SALE DIO TRA ACCLAMAZIONI.chordpro | SALE DIO TRA ACCLAMAZIONI | 5 roles | 14 verses | La m, Re m
IT - 177 - SALGA LO SPOSO SUL LEGNO DEL SUO TALAMO.chordpro | SALGA LO SPOSO SUL LEGNO DEL SUO TALAMO | 5 roles | 23 verses | Fa, La m, Mi, Mi7, Re m
IT - 178 - SALMODIA PER IL SALMO RESPONSORIALE.chordpro | SALMODIA PER IL SALMO RESPONSORIALE | 10 roles | 24 verses | Do, Do7, La m, Mi m, Si7, Sol
IT - 179 - SALVE REGINA DEI CIELI.chordpro | SALVE REGINA DEI CIELI | 4 roles | 20 verses | Fa, La m, Mi, Mi7, Re m
IT - 180 - SANTO.chordpro | SANTO | 5 roles | 11 verses | Fa, La m, Mi, Re m, Sol
IT - 181 - SANTO DELLE BARACCHE.chordpro | SANTO DELLE BARACCHE | 6 roles | 18 verses | Fa, La, La m, Mi, Mi7
IT - 182 - SANTO DELLE PALME.chordpro | SANTO DELLE PALME | 5 roles | 24 verses | La, La7, Re m, Sol m
IT - 183 - SANTO È SANTO.chordpro | SANTO È SANTO | 9 roles | 13 verses | La m, Mi m, Sol
IT - 184 - SANTO - ROMA 1977.chordpro | SANTO - ROMA 1977 | 5 roles | 11 verses | Fa, La m, Mi, Sol
IT - 185 - SANTO, SANTO, SANTO.chordpro | SANTO, SANTO, SANTO | 11 roles | 17 verses | Fa, La m, Mi7, Sol
IT - 186 - SE IL SIGNORE NON COSTRUISCE LA CASA.chordpro | SE IL SIGNORE NON COSTRUISCE LA CASA | 7 roles | 21 verses | Fa#, Fa#Sol, La, Re, Si m, Sol
IT - 187 - SE NEL SIGNORE MI SONO RIFUGIATO.chordpro | SE NEL SIGNORE MI SONO RIFUGIATO | 3 roles | 19 verses | Do, Do7, La m, Mi m, Si7, Sol
IT - 188 - SE OGGI ASCOLTATE LA SUA VOCE.chordpro | SE OGGI ASCOLTATE LA SUA VOCE | 9 roles | 31 verses | Do# m, Fa# m, Mi, Si7, Sol#
IT - 189 - SE SIETE RISORTI CON CRISTO.chordpro | SE SIETE RISORTI CON CRISTO | 16 roles | 30 verses | Do, La m, Mi m, Si7
IT - 190 - SEQUENZA CORPUS DOMINI.chordpro | SEQUENZA CORPUS DOMINI | 9 roles | 64 verses | La m, Mi m, Si7
IT - 191 - SEQUENZA DI PENTECOSTE - VIENI, SPIRITO SANTO.chordpro | SEQUENZA DI PENTECOSTE - VIENI, SPIRITO SANTO | 13 roles | 32 verses | Do, Fa, Mi
IT - 192 - SHEMÀ ISRAEL.chordpro | SHEMÀ ISRAEL | 8 roles | 36 verses | Fa, La m, Mi, Re m, Sol
IT - 193 - SHLOM LECH MARIÀM.chordpro | SHLOM LECH MARIÀM | 7 roles | 27 verses | Do, La m, Mi m, Si7, Sol
IT - 194 - SIEDI SOLITARIO E SILENZIOSO.chordpro | SIEDI SOLITARIO E SILENZIOSO | 2 roles | 30 verses | Fa#, Fa# m, La, La7, Mi m, Re, Si m, Sol
IT - 195 - SIGNORE, AIUTAMI, SIGNORE.chordpro | SIGNORE, AIUTAMI, SIGNORE | 8 roles | 29 verses | Fa#, La, La7, Mi m, Re, Si m, Sol
IT - 196 - SIGNORE, IL MIO CUORE NON HA PIÙ PRETESE.chordpro | SIGNORE, IL MIO CUORE NON HA PIÙ PRETESE | 6 roles | 15 verses | La m, Mi m, Si7
IT - 197 - SIGNORE, NON PUNIRMI NEL TUO SDEGNO.chordpro | SIGNORE, NON PUNIRMI NEL TUO SDEGNO | 10 roles | 22 verses | Fa#, Fa#7, La, Mi m, Si m, Sol
IT - 198 - SIGNORE, TU MI SCRUTI E MI CONOSCI.chordpro | SIGNORE, TU MI SCRUTI E MI CONOSCI | 9 roles | 26 verses | Do7, Fa, La, La m, Re m, Sib, Sol m
IT - 199 - SOLA A SOLO.chordpro | SOLA A SOLO | 2 roles | 11 verses | Do, Fa, La, La7, Re m, Sib, Sol m
IT - 200 - SORGA DIO.chordpro | SORGA DIO | 4 roles | 14 verses | Mi, Re m9
IT - 201 - STABAT MATER DOLOROSA.chordpro | STABAT MATER DOLOROSA | 14 roles | 29 verses | Do7, La7, Re m, Sib7
IT - 202 - TE DEUM.chordpro | TE DEUM | 11 roles | 46 verses | Do, La m, Mi, Mi7, Sol
IT - 203 - TI HO MANIFESTATO IL MIO PECCATO.chordpro | TI HO MANIFESTATO IL MIO PECCATO | 7 roles | 23 verses | La m, Re m, Sol
IT - 204 - TI STO CHIAMANDO.chordpro | TI STO CHIAMANDO | 5 roles | 25 verses | Do, La m, Mi m, Re, Si7, Sol
IT - 205 - TI VEDRANNO I RE.chordpro | TI VEDRANNO I RE | 8 roles | 29 verses | Fa#, Fa# m, La7, Mi m, Re, Si m, Sol
IT - 206 - TU CHE SEI FEDELE.chordpro | TU CHE SEI FEDELE | 10 roles | 25 verses | Do, Do m, Re, Re7, Sol m
IT - 207 - TU HAI RICOPERTO DI VERGOGNA LA MORTE.chordpro | TU HAI RICOPERTO DI VERGOGNA LA MORTE | 7 roles | 33 verses | La7, Re m, Sib
IT - 208 - TU SEI BELLA, AMICA MIA.chordpro | TU SEI BELLA, AMICA MIA | 6 roles | 32 verses | La, La7, Re m, Re7, Sib, Sol m
IT - 209 - TU SEI IL PIÙ BELLO.chordpro | TU SEI IL PIÙ BELLO | 8 roles | 30 verses | Do# m, Fa# m, La, Mi, Si, Sol#
IT - 210 - TU SEI LA MIA SPERANZA, SIGNORE.chordpro | TU SEI LA MIA SPERANZA, SIGNORE | 5 roles | 20 verses | Do#dim, La7, Re m, Sib7, Sol m
IT - 211 - UN GERMOGLIO SPUNTA DAL TRONCO DI JESSE.chordpro | UN GERMOGLIO SPUNTA DAL TRONCO DI JESSE | 9 roles | 38 verses | Do, La m, Mi m, Re, Si7, Sol
IT - 212 - UNA DONNA VESTITA DI SOLE.chordpro | UNA DONNA VESTITA DI SOLE | 9 roles | 66 verses | Fa, La m, Mi, Sol
IT - 213 - URÌ, URÌ, URÀ.chordpro | URÌ, URÌ, URÀ | 12 roles | 24 verses | Mi m, Si7
IT - 214 - VEDO I CIELI APERTI.chordpro | VEDO I CIELI APERTI | 7 roles | 37 verses | Do, Fa, La m, Mi, Sol
IT - 215 - VENITE A ME, VOI TUTTI.chordpro | VENITE A ME, VOI TUTTI | 4 roles | 16 verses | Do, Fa, La m, Mi
IT - 216 - VERGINE DELLA MERAVIGLIA.chordpro | VERGINE DELLA MERAVIGLIA | 7 roles | 25 verses | Fa#, Mi m, Si m, Sol
IT - 217 - VERSO TE, O CITTÀ SANTA.chordpro | VERSO TE, O CITTÀ SANTA | 6 roles | 23 verses | Fa, La m, Mi, Mi7, Sol
IT - 218 - VI PRENDERÒ DALLE GENTI.chordpro | VI PRENDERÒ DALLE GENTI | 5 roles | 13 verses | La, Re m, Re7, Sib, Sol m
IT - 219 - VIENE IL SIGNORE, VESTITO DI MAESTÀ.chordpro | VIENE IL SIGNORE, VESTITO DI MAESTÀ | 7 roles | 18 verses | Re m, Sol m
IT - 220 - VIENI DAL LIBANO.chordpro | VIENI DAL LIBANO | 9 roles | 39 verses | Do, La, La m, Mi m, Re, Sol
IT - 221 - VIENI, FIGLIO DELL’UOMO.chordpro | VIENI, FIGLIO DELL’UOMO | 14 roles | 49 verses | Do, La m, Mi m, Si7
IT - 222 - VOGLIO ANDARE A GERUSALEMME.chordpro | VOGLIO ANDARE A GERUSALEMME | 4 roles | 21 verses | Fa, La m, Mi, Re m
IT - 223 - VOGLIO CANTARE.chordpro | VOGLIO CANTARE | 13 roles | 33 verses | Fa# m, La, Mi m, Re, Sol
IT - 224 - VOI SIETE LA LUCE DEL MONDO.chordpro | VOI SIETE LA LUCE DEL MONDO | 4 roles | 15 verses | Do, La m, Mi, Re m
IT - 225 - ZACCHEO.chordpro | ZACCHEO | 10 roles | 44 verses | Fa, La, La m, Mi, Re m, Sol
